iter	Passed	Remaining
0	1	110
1	2	104
2	3	101
3	3	94
4	4	91
5	5	89
6	6	88
7	7	87
8	8	88
9	10	93
10	11	92
11	12	90
12	13	88
13	14	86
14	15	85
15	16	84
16	17	83
17	17	81
18	18	80
19	19	79
20	20	77
21	21	76
22	22	76
23	23	75
24	25	75
25	26	74
26	27	73
27	28	72
28	29	71
29	29	69
30	30	68
31	31	67
32	32	66
33	33	65
34	34	64
35	35	62
36	37	63
37	40	66
38	41	65
39	42	64
40	43	63
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	49	56
47	50	54
48	51	53
49	52	52
50	53	51
51	55	50
52	56	49
53	57	48
54	57	47
55	58	46
56	59	45
57	60	44
58	61	43
59	62	41
60	64	40
61	65	40
62	66	38
63	67	38
64	69	37
65	70	36
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	28
73	79	27
74	80	26
75	81	25
76	85	25
77	88	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	18
83	93	17
84	94	16
85	94	15
86	95	14
87	96	13
88	98	12
89	99	11
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
