iter	Passed	Remaining
0	150	150648
1	156	77945
2	157	52492
3	159	39756
4	161	32151
5	163	27066
6	165	23490
7	168	20850
8	169	18687
9	171	16955
10	173	15559
11	174	14395
12	176	13413
13	178	12603
14	181	11907
15	182	11250
16	184	10674
17	186	10176
18	188	9718
19	189	9309
20	191	8941
21	195	8687
22	197	8372
23	198	8076
24	200	7812
25	201	7565
26	203	7332
27	205	7117
28	206	6913
29	208	6743
30	210	6572
31	212	6413
32	213	6270
33	215	6131
34	218	6023
35	220	5903
36	222	5799
37	224	5680
38	226	5571
39	230	5520
40	231	5418
41	234	5350
42	236	5262
43	238	5178
44	239	5089
45	241	5007
46	243	4933
47	244	4858
48	249	4838
49	251	4773
50	252	4705
51	254	4643
52	256	4580
53	257	4518
54	259	4462
55	265	4468
56	267	4420
57	269	4372
58	271	4329
59	273	4287
60	275	4236
61	278	4213
62	280	4173
63	282	4129
64	283	4083
65	285	4042
66	287	3998
67	288	3958
68	290	3925
69	293	3903
70	295	3872
71	299	3857
72	301	3822
73	302	3790
74	304	3759
75	308	3747
76	310	3716
77	312	3689
78	314	3662
79	315	3632
80	317	3602
81	319	3574
82	320	3536
83	323	3525
84	325	3506
85	328	3490
86	330	3467
87	332	3442
88	335	3431
89	337	3412
90	339	3389
91	341	3365
92	342	3341
93	344	3323
94	348	3321
95	354	3335
96	356	3320
97	358	3301
98	360	3281
99	363	3275
100	366	3261
101	368	3242
102	370	3229
103	374	3223
104	376	3211
105	382	3226
106	385	3219
107	388	3208
108	392	3208
109	397	3220
110	400	3207
111	402	3193
112	405	3183
113	407	3168
114	411	3169
115	413	3154
116	415	3136
117	417	3121
118	421	3123
119	426	3129
120	428	3115
121	430	3101
122	433	3087
123	434	3072
124	436	3057
125	439	3045
126	440	3030
127	443	3021
128	445	3009
129	447	2995
130	449	2981
131	451	2966
132	453	2956
133	456	2949
134	458	2935
135	459	2921
136	461	2907
137	463	2894
138	465	2881
139	466	2866
140	470	2864
141	472	2853
142	474	2842
143	475	2829
144	477	2817
145	479	2804
146	481	2793
147	485	2793
148	487	2785
149	489	2775
150	491	2764
151	493	2752
152	494	2739
153	496	2727
154	500	2726
155	503	2721
156	504	2709
157	506	2699
158	508	2688
159	509	2677
160	510	2662
161	514	2661
162	517	2655
163	518	2644
164	520	2633
165	521	2621
166	523	2609
167	524	2599
168	526	2589
169	529	2584
170	531	2575
171	532	2565
172	534	2555
173	536	2545
174	537	2535
175	541	2537
176	543	2528
177	545	2519
178	547	2509
179	549	2501
180	550	2491
181	552	2481
182	553	2471
183	556	2466
184	557	2457
185	559	2447
186	560	2438
187	562	2429
188	564	2420
189	565	2410
190	572	2423
191	575	2420
192	577	2413
193	580	2411
194	585	2417
195	587	2411
196	589	2404
197	593	2405
198	595	2398
199	600	2400
200	605	2405
201	607	2398
202	611	2402
203	615	2400
204	617	2395
205	619	2387
206	621	2379
207	622	2371
208	624	2364
209	636	2394
210	639	2389
211	641	2382
212	642	2374
213	647	2377
214	649	2373
215	653	2370
216	662	2391
217	666	2390
218	668	2382
219	670	2376
220	672	2369
221	677	2374
222	679	2367
223	681	2361
